feature,perm_importance_mean,perm_importance_std
4933404O12Rik,0.05300565516354992,0.010421636200211222
9130019P16Rik,0.03470384294068505,0.015510291226946572
Dhrs1,0.03354864725917359,0.020954807495744954
1110065P20Rik,0.02436758563074355,0.016710957521587057
AC154912.5,0.022883233725339017,0.010613338187168085
Rps11-ps1,0.017885804254225316,0.011448538382071004
1810010H24Rik,0.01670213996529788,0.011791663361132135
4930512M02Rik,0.016073806310648434,0.010954861350898074
Gm45570,0.014976800976800984,0.01050987069323488
4930520O04Rik,0.014526701368806646,0.010154236857642081
Gm5886,0.014042124542124548,0.0066782345899891165
Drc7,0.013815628815628823,0.010767558338376875
Fam57b,0.013552985026669255,0.008616025837231719
Cdc42bpb,0.013485894222736348,0.009927456362593349
2010003K11Rik,0.013270708823340404,0.00877222327124251
1700010I14Rik,0.013119979435768921,0.013011149644088687
Brd3os,0.01273687423687425,0.00854949774061643
Myh7b,0.012675213675213688,0.006974935035703397
2310039H08Rik,0.010694139194139212,0.006590376033276044
2410006H16Rik,0.010576473234367985,0.011004698475102766
4930412C18Rik,0.009974519632414393,0.005910570728812997
Txnrd1,0.009690476190476218,0.010010018552262363
Polr3g,0.00833333333333335,0.005821416398857676
4632428C04Rik,0.008095238095238119,0.007003400534570266
Gm36947,0.007847696163485638,0.009226074675646855
Pcdh1,0.0071507615191825835,0.00912330709583237
Egflam,0.006484126984126989,0.005663692474566393
4930554C24Rik,0.006176370413212518,0.007216709491161728
Gm14204,0.0045396825396825475,0.006958532021724001
Ankrd28,0.0040415140415140565,0.007864379198753917
Jmy,0.003531328320802037,0.004223651817819993
Mpp2,0.0024102564102564117,0.006310230586102176
Eml1,0.001947368421052655,0.0055467379349677425
Adh6a,0.0010000000000000176,0.006244997998398402
Bcl7c,0.0010000000000000102,0.00374165738677393
Akr1b10,0.0009761904761904824,0.0036907833973518094
Arhgap15os,0.000944765760555255,0.011127595672876547
Gm40987,9.523809523810378e-05,0.0035653917233018782
4930570B17Rik,4.761904761905929e-05,0.0037020555667765195
Paics,-0.0004035087719298132,0.003235688949725883
4931403G20Rik,-0.0011587301587301425,0.0045912818454796256
AW112010,-0.0012624188676820137,0.009396340932849908
A430027C01Rik,-0.0026666666666666375,0.005734883511361743
Col4a5,-0.002805860805860801,0.007034668597579488
Matr3,-0.0029658119658119357,0.00728684731212053
Olfr954,-0.003042670779512861,0.009065929678313954
Sec14l3,-0.005190058479532147,0.0056033481899935575
A930037H05Rik,-0.005452380952380903,0.0030163011392031424
Gm10575,-0.0060067155067155065,0.006399879064621885
Calhm2,-0.010463016515648063,0.0075404460379331914
