gene,perm_importance_mean,perm_importance_std,rank,spearman_r,spearman_p
Col3a1,0.07572722773777442,0.011313636917867142,1,0.42895226194960395,9.056071255502017e-10
Gpnmb,0.04398094785143531,0.0087755382977484,2,0.3915374411907829,3.005388739250531e-08
Acer2,0.03419867101991877,0.005264670307145331,3,0.3280662828200756,4.569089513234376e-06
Ociad2,0.028683482407131932,0.005346445833675125,4,0.42624829868329445,1.1836500075643991e-09
Uty,0.023144125700562353,0.003622881873632154,5,0.2318961752309563,0.0014055144199402552
C130026I21Rik,0.022000509323536983,0.003627419146735849,6,0.13450257950286557,0.06645962736833037
Cd163l1,0.021894308967135193,0.0029517185007386783,7,0.3977900256278261,1.7242108482150316e-08
Meg3,0.0215522147144785,0.005186112201533347,8,0.26777827344176797,0.00021126136214782713
Dbp,0.018953090493804618,0.0027532827744736576,9,0.31219056209221424,1.363047206801255e-05
Adamts15,0.018496308562012134,0.0033006532589367884,10,0.38359878868472735,5.98611226127775e-08
Gm7592,0.017939021085297893,0.00357768473759969,11,-0.14029562225923536,0.055475593169981935
Col1a1,0.01722805885620818,0.003308499472244498,12,-0.1677855526965101,0.02171335773023202
Gm15433,0.0163186464007021,0.003162585274805875,13,0.34035940750221416,1.8772047990028057e-06
Igkv4-55,0.016283241975440028,0.003577492447693403,14,0.3637279849597427,3.10580481960438e-07
Egr1,0.016007381617386542,0.0035654750664309313,15,0.35116730918486827,8.316415679173615e-07
Gm7582,0.015981141873936466,0.0034180740742452646,16,-0.09452294194040778,0.1981647384555704
C4b,0.015832656749411093,0.002456707139830728,17,0.004697038947663782,0.9491289095574227
Snhg11,0.015664256641770045,0.0031895870556763063,18,-0.21077889915297604,0.003783925779338362
C1qtnf6,0.015492945398943813,0.0021214677251914374,19,-0.08379792047391577,0.25418528662532186
Gzmk,0.01514404478008724,0.0035903918246589592,20,0.015958535941388737,0.8283796110887014
Siglech,0.01394139189360214,0.003338876776724566,21,0.26593798637462424,0.00023439770056913904
Gm7609,0.013093019732684445,0.0024939006632741095,22,0.14760871779348392,0.04379563514236866
Mpzl1,0.013008172879613929,0.003636063594654056,23,0.20886049891935118,0.004121880541410924
Lef1,0.011590489781473205,0.0025349376255665267,24,-0.10020462262660519,0.17240188733933703
Ighg2c,0.011225255356298666,0.0017732100231662175,25,0.2727046581859271,0.00015936864423023346
Xist,0.010958573921429042,0.0036429628519010554,26,-0.1663511311626749,0.022879396320042808
Col1a2,0.010742490283360358,0.0018300989359349336,27,0.06097111971938566,0.40713351431095934
Spon2,0.010567624961171702,0.0037156612538033935,28,0.2862469927758385,7.140686472578268e-05
Ighg2b,0.009996441715851212,0.0027004194792408683,29,0.09398322732667734,0.20075002496727332
Cd96,0.009762092886683093,0.0025657439256915964,30,-0.23753047505074087,0.0010627055106349505
Itm2a,0.009339373820541211,0.002334876751357086,31,0.3112014665430224,1.4561316942319046e-05
Igf1,0.00889885116811104,0.0030289888830952395,32,0.28296497753674826,8.707454113343975e-05
Igkc,0.008794508695383556,0.00269990660659631,33,0.14057439806851985,0.05498733212985968
Hlf,0.007782103359214298,0.0025302548354456784,34,0.0666922513124634,0.3644607915030036
Igkv6-20,0.007765799663635564,0.0029594553646719816,35,-0.19901568990820254,0.006321529215622437
Plpp1,0.007590259482626334,0.00197603792489019,36,0.09321747838753842,0.20445979876702308
Nr4a1,0.006998011719942443,0.0018643176643681947,37,0.288878510766894,6.079839622267669e-05
Gm16026,0.006956870199262366,0.0008373446952542632,38,0.025571325079604502,0.728294769757552
Cdh4,0.005779067596588753,0.0010792005180493278,39,0.2951252744519865,4.123933756625954e-05
Ighv1-53,0.0056855707579685204,0.002151091714076977,40,0.012705593728431679,0.862975007791709
Pcdhb8,0.005252152671767462,0.0016160068947204812,41,0.11167234399081775,0.1281042344556931
Gm43189,0.004996075698906518,0.0016450437590132439,42,0.16599105134816994,0.023180439097793566
Sncg,0.004591228826391247,0.0017084507540730447,43,-0.10010733172399414,0.17282104600417875
Gm2619,0.004242183909986271,0.002453546849536342,44,-0.09561510148784746,0.19300724651691734
Igkv3-2,0.0041058320515665525,0.0020481303935924386,45,0.052477416968611655,0.475661472379203
Npas2,0.0035509572636365375,0.0014522971998179373,46,-0.16672592497479494,0.02256963599395196
Trem2,0.003324113096513755,0.0021917188724851705,47,-0.13599444008464404,0.06347381957796819
Ccl8,0.003123637155510021,0.001110755515990219,48,0.19685906922881136,0.006924913607091934
Fam241b,0.0029508257568663524,0.0010589478333472072,49,-0.08339529751542576,0.25648227316799743
Ciart,0.002667817908442845,0.0017549499362668056,50,-0.009014994190395125,0.9025394106099005
