gene,stability_freq,perm_importance_mean
Ighg2c,5,0.6867535737718373
Igkv3-2,5,0.24520488243448718
Gm2619,5,0.2377209170869764
Gm7582,5,0.07945558401472061
C130026I21Rik,5,0.06187489364681532
Gm15433,5,0.05966702315366372
Gm7592,5,0.059150639915235864
Egr1,5,0.05378682711621588
Gm7609,5,0.05352007718912197
Gpnmb,5,0.04308237495025492
Col3a1,5,0.04093736451064395
Ciart,5,0.03687259304140375
Ighv1-53,5,0.025303952683681217
Lef1,5,0.02527403190369866
Itm2a,5,0.02138703218938076
Igkv6-20,5,0.019721015034068267
Col1a1,5,0.017225597076964794
C1qtnf6,5,0.015128801705117722
Igf1,5,0.014476429688335735
Dbp,5,0.014337227028271959
Ighg2b,5,0.013620465440798923
Ociad2,5,0.012099278255814782
Col1a2,5,0.011525641096905914
C4b,5,0.011015370480695685
Gm43189,5,0.010946264478206846
Ccl8,5,0.007569987679631586
Sncg,5,0.007556834691489812
Acer2,5,0.007077506206359919
Mpzl1,5,0.007025368197075732
Igkv4-55,5,0.006764302654616861
Igkc,5,0.006357794137839691
Snhg11,5,0.006321063933479808
Gm16026,5,0.006217317072690487
Npas2,5,0.0059883824237911935
Siglech,5,0.005939238781801459
Gzmk,5,0.005759957985992203
Spon2,5,0.0055316293941110595
Plpp1,5,0.005443031970871726
Cd163l1,5,0.00541625614850697
Meg3,4,0.004845081979489241
Cd96,4,0.004762996913094141
Hlf,5,0.0045222703986952046
Trem2,5,0.004400593137463537
Nr4a1,5,0.004359331920663268
Pcdhb8,5,0.00434258999581435
Xist,5,0.004193231801569808
Cdh4,5,0.004189769789170239
Adamts15,4,0.004043109677585943
Fam241b,5,0.00401101077149052
Uty,5,0.003965394222209117
AC166110.3,5,0.00381231958178504
Igkv5-39,5,0.0037899137694914486
Gm16028,3,0.0036770538323560586
H2-Q5,4,0.003658966598135804
Adam33,5,0.00359096239894876
Srxn1,5,0.00334679328243036
Gm37352,3,0.0032541414790172364
Syp,4,0.0030400899753807334
Vsig4,4,0.0030356648569935694
Col5a2,5,0.0029810312756999415
Mmp23,4,0.002973142360372194
Ighm,4,0.0029616822990413457
Gm14085,4,0.002915937131319446
Ric3,4,0.0028788924086538105
Ddx3y,5,0.002860791994883527
Kdelr3,4,0.002759782839732228
Smpdl3b,5,0.002752759976280661
Cd209b,4,0.0027374021508358992
Hspa1b,5,0.0026208157933789275
Prelp,5,0.002594003997075633
Eif2s3y,4,0.0025503988269537595
Gm33699,4,0.0025401682201043104
Gm4017,4,0.0025305866833209793
Rims4,4,0.0024806558774814968
Mrgprb2,4,0.0024773380376095777
Hephl1,4,0.002446442801444082
Serpina3k,5,0.0024362485260733366
Gm42449,5,0.002379848416967067
Ncr1,3,0.002347704388447114
Cpne7,3,0.0023163153639659596
Mark1,4,0.0022895826067790394
Col6a2,4,0.0022169642484902055
Col6a1,4,0.0022153324648124806
Pcdhga8,5,0.0021982256178646685
Lancl3,3,0.002180592918805857
Mup3,4,0.0021740582177756764
Apln,4,0.00212843445154195
Sparc,4,0.0020842991285183188
Itk,2,0.00207949306549976
S100b,2,0.002059057955415511
Ankrd35,4,0.002028128221814196
Adamts4,4,0.0020118007118347767
Gfap,2,0.002006717053964158
Lag3,5,0.0019735814908018678
Ifi27l2a,4,0.0019157188456786713
Cfp,3,0.0019144306889546715
Il17re,3,0.0018941406024970632
Syngr1,3,0.0018860266950003202
Ppic,4,0.0018683890532773305
Cxcl5,3,0.0018489915507373554
Timd4,5,0.0018387839588851485
Gm15931,4,0.0018132769217726438
Ttll11,4,0.0017948450226959011
Edaradd,4,0.0017644214001761417
Cpz,3,0.0017423339810943462
Bambi-ps1,4,0.0017404144136947796
Kif22,3,0.001701203559177522
Pcdhb9,3,0.001662378962399991
Tigit,4,0.001658197962045882
Nrep,2,0.0016506602511392242
Angptl4,2,0.0016451423621232422
Rnft2,5,0.001643105589978544
Vgll3,4,0.0016383943464673533
